"","celltype","group","Number"
"1","Effector_CD8+_T_cell","HNRNPC-High",10
"2","Exhausted_CD8+_T_cell","HNRNPC-High",122
"3","CD4+_T_cell","HNRNPC-High",165
"4","Effector_CD8+_T_cell","HNRNPC-Low",124
"5","Exhausted_CD8+_T_cell","HNRNPC-Low",10
"6","CD4+_T_cell","HNRNPC-Low",14
